timestamp,position,fuel,prev_mw,curr_mw,delta_mw,limit_mw,excess_mw,nd_input_jump_mw
2026-01-12 14:00:00+10:00,seam,coal_brown,1332.9,2321.0,988.1,268.4,719.1,9.4
2026-03-27 14:00:00+10:00,seam,coal_brown,1629.0,2593.4,964.3,268.4,695.3,739.2
2026-06-11 14:00:00+10:00,seam,coal_brown,3556.8,4520.9,964.1,268.4,695.1,777.9
2026-01-29 14:00:00+10:00,seam,coal_brown,3000.0,3953.8,953.8,268.4,684.8,421.1
2026-01-10 14:00:00+10:00,seam,coal_brown,1138.3,2060.2,921.9,268.4,652.9,247.1
2026-04-23 14:00:00+10:00,seam,coal_brown,1914.1,2778.4,864.3,268.4,595.3,226.8
2026-01-24 14:00:00+10:00,seam,coal_brown,1986.0,2850.1,864.1,268.4,595.1,277.8
2026-06-12 14:00:00+10:00,seam,coal_brown,2218.7,3057.2,838.5,268.4,569.5,496.5
2026-04-01 14:00:00+10:00,seam,coal_brown,2942.5,3780.8,838.3,268.4,569.3,204.1
2026-06-02 14:00:00+10:00,seam,coal_brown,3075.5,3911.6,836.1,268.4,567.1,440.0
2026-02-12 14:00:00+10:00,seam,coal_brown,1212.1,2046.6,834.5,268.4,565.5,149.9
2026-03-08 14:00:00+10:00,seam,coal_brown,1640.7,2473.5,832.8,268.4,563.8,89.4
2026-02-17 14:00:00+10:00,seam,hydro,1458.3,320.4,-1137.9,-575.3,562.0,688.1
2026-04-12 14:00:00+10:00,seam,coal_brown,1489.7,2314.2,824.5,268.4,555.5,399.5
2026-02-05 14:00:00+10:00,seam,coal_brown,2027.7,2846.9,819.3,268.4,550.3,554.0
2026-06-14 14:00:00+10:00,seam,coal_brown,3180.3,3997.2,816.9,268.4,547.9,248.1
2026-01-22 14:00:00+10:00,seam,coal_brown,1585.2,2396.6,811.4,268.4,542.4,322.4
2026-02-09 14:00:00+10:00,seam,coal_brown,2821.8,3624.2,802.4,268.4,533.4,382.2
2026-01-17 14:00:00+10:00,seam,coal_brown,842.6,1635.2,792.6,268.4,523.6,408.1
2026-05-19 14:00:00+10:00,seam,coal_brown,2884.6,3661.3,776.8,268.4,507.8,529.5
2026-02-11 14:00:00+10:00,seam,coal_brown,2163.0,2936.5,773.5,268.4,504.5,662.8
2026-03-23 14:00:00+10:00,seam,coal_brown,2472.4,3242.7,770.4,268.4,501.4,298.9
